,Company #,Purchase Order,Item,Vendor,Description,Unit of Measure,Units,Unit Cost,Cost,Phase
0,8,1200-001,1,Paragon Electrical Installations Ltd.,Additional smoke detector/re-verification,LS,0.0,0.0,1444.0,26-20-20
1,8,1200-002,1,Accurate Aluminum Ltd,S&I railing as per quote Aug. 13  2015,LS,0.0,0.0,500.0,05-52-20
2,8,1200-003,1,Dura Productions,S&I metal ramp,LS,0.0,0.0,795.0,05-52-20
4,8,1209-1-01,1,Alba Painting Ltd.,Painting of two offices,LS,0.0,0.0,900.0,09-91-40
9,8,1209-1-04,2,Renner Glass Inc.,S&I door lock ,LS,0.0,0.0,115.0,08-41-26
11,8,1209-1-05,1,Robertson Walls & Ceilings,Demolition - wall/carpeting/platform,LS,0.0,0.0,752.0,9/21/2017
14,8,1212-002,1,Shanahan's,Hollow metal frames,EA,2.0,160.0,320.0,8/11/2013
17,8,1212-002,4,Shanahan's,Corner Guards,EA,8.0,83.62,668.96,10/26/2013
23,8,1212-002,10,Shanahan's,Finish Hardware,LS,0.0,0.0,755.0,08-71-11
24,8,1212-002,11,Shanahan's,Grab Bars,LS,0.0,0.0,74.77,10/28/2015
25,8,1212-003,1,Vision West Products Ltd.,Mirrors - washroom,LS,0.0,0.0,650.0,08-83-13
26,8,1212-003,2,Vision West Products Ltd.,Mirror - one standing mirror,LS,0.0,0.0,0.0,08-83-13
27,8,1212-003,3,Vision West Products Ltd.,Chair Rails,LS,0.0,0.0,0.0,06-46-23
29,8,1212-007,1,Pit Stop Portable Toilet Service Ltd BC,Portable Toilet rental; weekly cleaning May 31,LS,0.0,0.0,24.62,01-52-19
30,8,1212-007,2,Pit Stop Portable Toilet Service Ltd BC,Weekly cleaning - May 16,LS,0.0,0.0,88.86,01-52-19
31,8,1212-007,3,Pit Stop Portable Toilet Service Ltd BC,Cleaning  June 2  5  12  19  26,LS,0.0,0.0,124.2,01-52-19
32,8,1212-007,4,Pit Stop Portable Toilet Service Ltd BC,Final billing/removal,LS,0.0,0.0,45.16,01-52-19
34,8,1212-009,1,Dick's Lumber,Lumber for back framing,LS,0.0,0.0,241.58,6/10/1980
35,8,1212-010,1,Home Depot,Paper Towels,EA,4.0,8.49,33.96,01-52-23
36,8,1212-011,1,Ange's Plumbing Ltd.,Concrete coring for plumbing - washroom,LS,0.0,0.0,2100.0,03-80-11
38,8,1212-012,1,Metro Printers,"Ilac"" Project Orientation Stickers",LS,0.0,0.0,192.5,01-58-13
