Phase,Description
00-10-10,architectural consultant
00-10-11,structural consultant
00-10-12,mechanical consultant
00-10-13,plumbing consultant
00-10-14,hvac consultant
00-10-15,fire suppression consultant
00-10-16,electrical consultant
00-10-17,geotechnical consultant
00-10-18,building envelope consultant
00-10-19,window consultant
00-10-20,interior design consultant
00-10-21,landscape consultant
00-10-22,acoustics consultant
00-10-60,business license
00-30-10,building permit
00-30-11,plumbing permit
00-30-12,electrical permit
00-30-13,water & sewer permit
00-30-14,parking meter street permit
00-30-15,no-parking street permit
00-30-16,street & sidewalk permit
00-30-17,street crossing permit
00-30-30,project printing & drafting
00-61-10,bid bonds
00-61-11,performance & labour and material bonds
00-61-12,lien bonds
00-61-13,subtrade bonds
00-62-10,insurance - all risk builders risk
00-62-11,insurance - wrap-up liability
00-62-12,insurance - corporate general liability
00-70-10,legal
01-10-10,general conditions
01-30-10,construction manager
01-30-11,senior project manager
01-30-12,project manager
01-30-13,assistant project manager
01-30-14,project coordinator
01-30-15,leed coordinator
01-30-16,bim coordinator
01-30-17,site estimator
01-30-18,project administrator
01-30-19,project accountant
01-30-20,senior superintendent
01-30-21,superintendent
01-30-22,structure superintendent
01-30-23,finishing superintendent
01-30-24,parkade superintendent
01-30-25,sitework/landscape superintendent
01-30-26,residential superintendent
01-30-27,commercial superintendent
01-30-28,quality control superintendent
01-30-29,assistant superintendent
01-30-30,foreman
01-30-31,flagperson
01-30-32,rigger
01-30-33,labourer
01-30-40,safety manager
01-30-41,cso
01-30-42,first aid attendent
01-30-50,deficiency manager
01-30-51,deficiency technician
01-30-60,vp construction
01-30-61,project director
01-30-62,operations manager
01-31-31,travel & accommodation expense
01-31-40,cartage
01-32-33,photographic documentation
01-32-50,bim modeling
01-33-23,submittal printing & drafting
01-45-41,scaffolding engineering
01-45-42,crane engineering
01-45-43,safety consultant
01-51-13,temporary power
01-51-23,temporary heating
01-51-24,temporary ventilation
01-51-26,temporary lighting
01-51-33,temporary telephone
01-51-36,temporary water
01-52-13,field offices & sheds
01-52-16,first aid supplies
01-52-17,safety equipment & supplies
01-52-19,temporary toilets
01-52-20,temporary office equipment & supplies
01-52-21,radios
01-52-22,field office supplies
01-52-23,field supplies
01-52-24,lock-up
01-52-25,small tools & repairs
01-52-30,property rental
01-52-40,temporary warehouse
01-54-13,elevator operator
01-54-16,man hoist
01-54-17,material hoist
01-54-19,mobile crane
01-54-20,tower crane
01-54-21,self erecting crane
01-54-23,staging & scaffolding
01-54-24,temporary stairway
01-54-26,swing staging
01-54-30,bobcat
01-54-31,forklift
01-54-32,evacuation box
01-54-33,material outrigger platforms
