Company #,Purchase Order,Item,Vendor,Description,Unit of Measure,Units,Unit Cost,Cost,Cost Code
8,1200-001,1,Paragon Electrical Installations Ltd.,Additional smoke detector/re-verification,LS,0,0,1444,26-20-20
8,1200-002,1,Accurate Aluminum Ltd,S&I railing as per quote Aug. 13  2015,LS,0,0,500,05-52-20
8,1200-003,1,Dura Productions,S&I metal ramp,LS,0,0,795,05-52-20
8,1200-004,1,Friesen Floors & Window Fashions Ltd,S&I hardwood flooring for enclosed balcony area,LS,0,0,2314,09-64-33
8,1209-1-01,1,Alba Painting Ltd.,Painting of two offices,LS,0,0,900,09-91-40
8,1209-1-02,1,Robertson Walls & Ceilings,Drwall Packege as per quote dated December 7  2015,LS,0,0,3000,09-21-17
8,1209-1-03,1,Lakeview Power Systems Inc.,Electrical package as per quote 15271 Dated Dec 08-2015 ,LS,0,0,5750,26-20-13
8,1209-1-03,2,Lakeview Power Systems Inc.,Data Allowance,LS,0,0,2500,26-60-10
8,1209-1-04,1,Renner Glass Inc.,S&I glazing as per quote 1207R,LS,0,0,3575,08-41-26
8,1209-1-04,2,Renner Glass Inc.,S&I door lock ,LS,0,0,115,08-41-26
8,1209-1-04,3,Renner Glass Inc.,Credit to window glass thickness,LS,0,0,-250,08-41-26
8,1209-1-05,1,Robertson Walls & Ceilings,Demolition - wall/carpeting/platform,LS,0,0,752,09-21-17
8,1209-1-05,2,Robertson Walls & Ceilings,Framing/drywall/taping/finishing,LS,0,0,3952,09-21-17
8,1209-1-05,3,Robertson Walls & Ceilings,Credit for scope reduction,LS,0,0,-1352,09-21-17
8,1212-002,1,Shanahan's,Hollow metal frames,EA,2,160,320,08-11-13
8,1212-002,2,Shanahan's,Door Hardware,LS,0,0,8689,08-71-11
8,1212-002,3,Shanahan's,Toilet Partitions,LS,0,0,10518,10-21-13
8,1212-002,4,Shanahan's,Corner Guards,EA,8,83.62,668.96,10-26-13
8,1212-002,5,Shanahan's,Washroom accessories,LS,0,0,2762,10-28-14
8,1212-002,6,Shanahan's,Washroom Doors,EA,2,738,1476,08-11-13
8,1212-002,7,Shanahan's,Credit - Corner Guards,LS,0,0,-668.96,10-26-13
8,1212-002,8,Shanahan's,Fire rated wood door - electrical room,EA,1,838,838,08-11-13
8,1212-002,9,Shanahan's,Hollow metal frame - electrical room,EA,1,184,184,08-11-13
8,1212-002,10,Shanahan's,Finish Hardware,LS,0,0,755,08-71-11
8,1212-002,11,Shanahan's,Grab Bars,LS,0,0,74.77,10-28-15
8,1212-003,1,Vision West Products Ltd.,Mirrors - washroom,LS,0,0,650,08-83-13
8,1212-003,2,Vision West Products Ltd.,Mirror - one standing mirror,LS,0,0,0,08-83-13
8,1212-003,3,Vision West Products Ltd.,Chair Rails,LS,0,0,0,06-46-23
8,1212-004,1,All Painting Ltd.,Painting as per quote 14C-061 Rev. 2,LS,0,0,10200,09-91-40
8,1212-007,1,Pit Stop Portable Toilet Service Ltd BC,Portable Toilet rental; weekly cleaning May 31,LS,0,0,24.62,01-52-19
8,1212-007,2,Pit Stop Portable Toilet Service Ltd BC,Weekly cleaning - May 16,LS,0,0,88.86,01-52-19
8,1212-007,3,Pit Stop Portable Toilet Service Ltd BC,Cleaning  June 2  5  12  19  26,LS,0,0,124.2,01-52-19
8,1212-007,4,Pit Stop Portable Toilet Service Ltd BC,Final billing/removal,LS,0,0,45.16,01-52-19
8,1212-008,1,Pacific Restaurant Supply  Inc,Supply stainless sinks (3) for washrooms,LS,0,0,14400,05-70-10
8,1212-009,1,Dick's Lumber,Lumber for back framing,LS,0,0,241.58,06-10-80
8,1212-010,1,Home Depot,Paper Towels,EA,4,8.49,33.96,01-52-23
8,1212-011,1,Ange's Plumbing Ltd.,Concrete coring for plumbing - washroom,LS,0,0,2100,03-80-11
8,1212-011,2,Ange's Plumbing Ltd.,S&I two handicap toilets,LS,0,0,2603.77,22-10-20
8,1212-012,1,Metro Printers,"Ilac"" Project Orientation Stickers",LS,0,0,192.5,01-58-13
8,1212-013,1,A&B Tool Rentals Ltd,4 Space heaters,DYS,0,0,0,01-51-23
8,1212-013,2,A&B Tool Rentals Ltd,4 space heaters,LS,0,0,240,01-51-23
8,1212-014,1,Airstream Heating and Air Conditioning Inc.,Supply 14 aluminum 12 x 12 deflectors; painted black 1 side,EA,14,16,224,21-10-14
8,1212-015,1,Westcoast Cutting & Coring Ltd.,Concrete Coring 2 hole  2' x 20',EA,2,390,780,03-80-11
8,1212-015,2,Westcoast Cutting & Coring Ltd.,"Coring (3) washroom holes 2' x 6 """,EA,3,0,0,03-80-11
8,1212-015,3,Westcoast Cutting & Coring Ltd.,"Coring radiator holes 3"" ",EA,4,0,0,03-80-11
8,1212-017,1,A&B Tool Rentals Ltd,"2 Fans  20"" air mover May 26",LS,0,0,154,01-52-25
8,1212-018,1,Peak Disposal Services Inc.,Dump & return - 35329,EA,1,330,330,01-74-13
8,1212-018,2,Peak Disposal Services Inc.,Dump & return - 35481,EA,1,330,330,01-74-13
8,1212-018,3,Peak Disposal Services Inc.,Dump & return - 35590,EA,1,330,330,01-74-13
8,1212-018,4,Peak Disposal Services Inc.,Dump & Return - 36055,LS,0,0,330,01-74-13
8,1212-018,5,Peak Disposal Services Inc.,Dump & Return - 35756,LS,0,0,330,01-74-13
8,1212-018,6,Peak Disposal Services Inc.,Dump & Return - 35812,LS,0,0,330,01-74-13
8,1212-018,7,Peak Disposal Services Inc.,Dump & Return - 35941,LS,0,0,330,01-74-13
8,1212-018,8,Peak Disposal Services Inc.,Dump & Return - 36244,LS,0,0,330,01-74-13
8,1212-018,9,Peak Disposal Services Inc.,Dump 12 yard - overweight,LS,0,0,375.9,01-74-13
8,1212-020,1,Westcoast Cutting & Coring Ltd.,"Core 2"" & 3"" x 6""  8""  20""",LS,0,0,780,03-80-11
8,1212-028,1,Advanced Mobile First Aid & Safety Inc.,Sodium Choride Irrigation,LS,0,0,17.7,01-52-17
8,1212-028,2,Advanced Mobile First Aid & Safety Inc.,Gloves,LS,0,0,47.4,01-52-17
8,1212-028,3,Advanced Mobile First Aid & Safety Inc.,Dust Bain,LS,0,0,59.85,01-52-17
8,1212-028,4,Advanced Mobile First Aid & Safety Inc.,Eye wash cup,LS,0,0,3.25,01-52-17
8,1212-029,1,Vision West Products Ltd.,S&I 12mm glazing panel,LS,0,0,905,08-43-26
8,1212-032,1,Advanced Mobile First Aid & Safety Inc.,Gas Tester ,EA,1,225,225,01-52-17
8,1212-032,2,Advanced Mobile First Aid & Safety Inc.,Fresh air Intake,EA,1,200,200,01-52-17
8,1212-036,1,Shanahan's,SS&I  H/C door openers for washrooms,LS,0,0,6933,08-71-11
8,1212-036,2,Shanahan's,Electric strikes to 2 frames,LS,0,0,107,08-71-11
8,1212-036,3,Shanahan's,Electric strikes to 2 doors,LS,0,0,481,08-71-11
8,1212-037,1,Vancouver Fire & Radius Security,Fire and safety plan,LS,0,0,1248,10-41-10
8,1212-037,2,Vancouver Fire & Radius Security,Metal Photo etched plaques,LS,0,0,212,10-41-10
8,1212-037,4,Vancouver Fire & Radius Security,Shipping,LS,0,0,35,10-41-10
8,1212-038,1,Dick's Lumber,Bosch glass & tile drill bit,LS,0,0,9.54,01-52-23
8,1212-038,2,Dick's Lumber,Boss cobalt drill bit,LS,0,0,10.84,01-52-23
8,1212-039,1,A Plus Cleaning and Janitorial Ltd.,Final professional cleaning,LS,0,0,7409.06,01-74-24
8,1212-041,1,Vancouver Fire & Radius Security,Supply fire extinguishers,LS,0,0,265,10-41-10
8,1212-041,2,Vancouver Fire & Radius Security,Delivery,LS,0,0,45,10-41-10
8,1212-042,1,All Painting Ltd.,Paint changes as per Chase,LS,0,0,5700,09-91-40
8,1212-042,2,All Painting Ltd.,Revised colors painting,LS,0,0,1155,09-91-40
8,1212-043,1,Franklin Woodcraft,Install Door  Hardware,LS,0,0,1750,08-71-11
8,1212-044,1,Bomex Tile Inc.,S&I rock tile,LS,0,0,1260,09-30-60
8,1212-045,1,Broadway Refrigeration & Air Conditioning CO. LTD.,Additional ductwork - constrained ceiling space,LS,0,0,5536,23-50-20
8,1212-047,1,Vision West Products Ltd.,Corner Guards,LS,0,0,2051,10-26-13
8,1212-047,2,Vision West Products Ltd.,Interior Flashing,LS,0,0,1956,05-50-10
8,1212-047,3,Vision West Products Ltd.,Glazing to end wall,LS,0,0,446,08-43-13
8,1212-050,1,Franklin Woodcraft,RE & Re 2 washroom doors,LS,0,0,225,08-11-13
8,1212-052,1,PrecisionWerkz Inc.,S& I Chair Rails as per quote 14144,LS,0,0,7387,06-46-23
8,1212-053,1,Robertson Walls & Ceilings,S&I labour & materials to repair classroom wall,LS,0,0,880,09-21-17
8,1212-054,1,Vision West Products Ltd.,S&I Framed doors for SE stair exit,LS,0,0,6400,08-43-13
8,1213-001,1,Pacific EHS,Bulk Sampling - Asbestos/Lead,LS,0,0,1820,01-45-12
8,1213-001,2,Pacific EHS,Deposit Paid by Visa,LS,0,0,-500,01-45-12
8,1213-001,3,Pacific EHS,Disbursements,LS,0,0,0,01-45-12
